,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_6367H,10.46,30.10,39.90,13.43,38.80,41.89,288.95,20.40,76.24,24.44,29.33,98.73,206.05,34.50,0.00,44.54,40.67,32.51,194.98,0.00,53.90,191.93,200.09,372.80
VNG_6368H,65.71,60.71,66.35,78.60,106.78,75.69,355.48,153.78,177.67,135.00,106.86,162.65,159.51,400.63,272.70,491.35,259.73,301.98,113.21,119.21,93.88,148.57,0.00,216.44
VNG_6370H,77.04,75.94,89.37,95.92,123.20,110.63,461.06,251.28,318.22,149.61,153.45,228.27,283.99,0.00,0.00,0.00,0.00,0.00,0.00,212.25,111.43,132.26,137.89,0.00
VNG_6372H,20.03,32.24,30.75,14.96,23.41,29.47,123.84,10.99,25.02,17.32,17.19,40.10,512.39,611.31,599.37,996.88,530.94,666.93,727.31,478.70,904.71,1193.19,746.36,347.65
VNG_6375H,20.34,16.12,13.54,13.88,16.44,10.55,29.46,17.82,15.09,20.13,17.13,18.25,168.05,59.09,48.39,43.59,0.00,15.91,0.00,0.00,52.75,0.00,32.64,0.00
VNG_6377H,27.19,24.66,25.95,23.01,26.39,24.75,100.33,33.08,40.43,38.35,35.97,50.65,68.76,34.54,24.75,44.59,101.79,65.09,48.80,51.39,53.96,64.05,0.00,0.00
VNG_6378H,1.53,1.95,2.11,1.03,1.77,2.83,34.76,2.63,4.25,3.13,3.47,8.37,124.60,177.35,194.34,134.68,73.78,98.29,117.91,93.13,130.37,193.44,443.66,225.44
VNG_6379C,55.86,45.55,52.70,62.14,45.88,51.07,50.26,50.68,32.96,15.87,16.92,15.64,27.17,51.19,73.35,61.67,56.31,94.31,115.71,64.31,88.84,63.27,83.56,86.03
VNG_6381H,61.04,52.00,53.19,56.64,46.91,50.24,57.27,43.34,28.96,17.09,15.97,19.56,24.93,0.00,0.00,16.17,44.29,11.80,35.39,0.00,0.00,0.00,48.42,0.00
VNG_6384H,36.38,39.24,21.60,47.28,51.19,39.18,38.50,38.31,28.35,7.46,11.99,22.60,0.00,116.79,334.71,1206.15,0.00,0.00,659.99,0.00,0.00,0.00,0.00,0.00
VNG_6385H,30.48,32.53,33.98,45.96,39.60,39.04,86.15,46.35,45.68,32.62,30.76,38.75,513.66,1079.05,840.36,1332.47,857.15,1281.91,729.11,732.92,696.25,1304.89,816.23,633.65
