tracking_id,trna.rep.1.tp.1_0,trna.rep.1.tp.2_0,trna.rep.1.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.1.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.1.tp.3_0,trna.rep.3.tp.2_0,trna.rep.3.tp.3_0,trna.rep.3.tp.1_0,trna.rep.3.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.2.tp.1_0,rbf.rep.2.tp.3_0,rbf.rep.2.tp.2_0,trna.rep.2.tp.1_0,trna.rep.2.tp.3_0,trna.rep.2.tp.2_0,trna.rep.2.tp.4_0,rbf.rep.3.tp.2_0,rbf.rep.3.tp.3_0,rbf.rep.3.tp.1_0,rbf.rep.3.tp.4_0
VNG_0505C,22.6178,32.9512,48.9941,17.4588,8.56982,56.1394,30.6965,0,33.5898,22.8866,28.8985,28.4672,28.2983,47.6726,7.92028,31.4214,23.1625,18.4849,31.7097,18.5219,33.2946,34.057,24.2698,44.6329
VNG_0506H,238.021,138.973,67.7213,70.7756,2020.68,1323.71,1447.59,3177.56,140.555,42.5768,61.9666,74.8253,2224.16,2070.67,933.764,1481.78,164.117,62.7585,126.319,14.0523,560.754,1606.07,1635.02,2631.01
VNG_0507C,453.64,402.994,196.134,225.058,22.953,15.0361,8.22158,36.0939,318.119,311.532,418.45,197.387,25.2642,26.8808,42.4266,33.663,457.904,396.962,344.936,214.236,31.8481,18.2433,13.9292,29.8857
VNG_0508H,901.98,474.129,822.692,689.498,520.361,1704.4,931.948,0,764.884,519.73,814.605,737.733,0,609.409,1442.76,190.792,937.468,489.853,652.368,729.021,577.616,620.385,736.833,1355.06
VNG_0509H,4637.9,3468.62,848.001,1351.9,0,0,0,0,2918,777.123,3752.57,1185.75,0,0,0,0,4110.12,1545.07,2905.17,1312.25,0,691.939,352.208,0
VNG_0510G,1280,1057.41,766.692,2386.86,0,89.2284,12.1973,26.7739,896.609,1004.22,1299.96,1969.26,18.7406,19.9398,39.3392,6.24268,1238.08,1138.69,1067.37,1850.9,28.3493,13.5326,27.5533,66.5061
VNG_0511H,198.077,139.714,257.696,214.457,0,208.169,0,0,226.904,87.0078,171.754,541.334,0,93.0389,0,0,246.717,92.8709,144.04,146.553,88.1851,126.286,64.2817,413.756
VNG_0512G,69.3344,62.5402,72.2286,37.0125,32.0372,41.9741,51.6397,12.5948,55.6556,43.5062,65.6644,47.1967,26.4474,21.1048,14.8045,17.6198,67.5691,46.207,71.7486,41.2882,53.3434,57.2931,22.6824,41.7137
VNG_0514C,54.0308,63.1831,57.1122,30.6803,138.481,24.7409,24.8015,113.831,56.6667,40.6502,66.6661,39.408,138.569,57.1312,37.8138,60.0061,61.2801,54.41,56.9442,36.397,57.6443,72.544,43.2926,155.72
VNG_0516H,250.867,243.885,121.877,663.483,2195.47,1118.61,786.402,0,199.069,267.614,228.589,549.366,537.011,571.373,112.726,536.65,263.031,338.836,239.364,644.696,473.869,290.832,394.768,1270.48
VNG_0518H,5781.34,5783.05,3688.48,131768,0,6462.16,1177.81,0,3976.83,23373.7,5821.5,90391.8,0,1444.09,0,1205.63,5699.02,11312.5,4268.99,124256,912.504,2613.52,0,0
VNG_0520H,1626.88,2451.98,5436.95,106148,0,0,229.077,0,2180.05,19176.8,1840.23,82878.3,0,187.245,295.532,0,1895.37,9181.7,2296.92,86702.7,177.476,0,388.108,0
VNG_0521G,261.811,222.112,143.75,206.389,27.7152,12.1038,48.5337,24.2125,211.175,111.163,266.698,203.467,27.1164,27.0483,25.6145,36.1309,276.119,115.719,215.823,182.85,44.4378,26.9236,22.4256,8.01915
VNG_0523G,185.303,198.677,316.304,376.836,28.4037,148.854,213.654,22.3326,201.251,393.041,181.719,367.236,46.8957,182.954,65.6271,93.7284,158.421,359.264,200.231,450.72,149.762,45.1513,195.353,0
VNG_0524G,2535.51,3845.62,2852.11,8707.76,106.231,27.8361,60.882,16.705,4426.93,4652.02,3042.04,7790.28,46.7713,34.2128,0,77.8998,2933.42,4070.31,3472.34,6634.55,47.1679,84.434,42.9782,55.3269
VNG_0525C,2661.58,3999.6,2683.58,9293.92,31.5087,41.2817,45.1448,59.4576,4303.47,4952.03,3047.46,7712.11,83.2356,66.4213,110.658,69.3165,3058.28,4236.31,3457.11,7415.41,76.9463,70.122,73.9359,65.6409
VNG_0527C,2859.34,4055.64,2751.35,9934.64,15.2131,29.8976,5.44922,0,4368.26,5205.91,3311.51,8611.15,25.1175,37.86,14.0601,16.7338,3049.02,4845.6,3642.03,9100.28,25.3305,12.0916,6.15481,19.8081
VNG_0529H,20.1977,24.7649,34.9528,15.7652,478.675,1551.35,1389.71,356.553,25.8244,24.5195,24.2395,16.8028,138.651,1659.64,302.691,1089.99,21.102,19.7758,18.7167,16.1851,1705.89,580.698,1691.96,459.239
VNG_0530G,615.554,506.065,254.926,522.27,164.689,172.616,70.7886,155.386,473.904,323.576,581.467,587.117,108.764,96.436,30.4414,72.4604,701.097,293.854,427.539,491.176,109.686,130.897,119.932,85.7727
VNG_0532H,11.9519,7.67616,33.7928,7.99627,86.9448,227.824,218.001,0,12.5115,17.6379,18.6694,22.5435,95.6997,241.83,120.532,223.149,6.69573,9.45399,11.6768,10.5842,265.406,138.21,193.465,226.411
VNG_0533H,424.309,689.119,1102.91,910.949,105.224,78.7776,21.5374,118.19,562.475,2983.45,438.195,790.139,99.2739,61.6153,13.8927,22.0461,433.26,2573.47,640.237,1060.47,50.0579,107.529,24.3261,78.289
VNG_0534C,456.077,575.726,673.447,766.641,53.5472,116.926,12.7868,56.1359,501.392,1944.23,463.514,739.874,58.9392,41.807,115.474,78.5328,450.262,1519.72,530.917,863.068,29.7195,56.7467,36.1062,0
VNG_0535C,275.768,400.888,970.358,2948.23,162.389,212.756,0,0,326.295,1611.25,303.292,2011.6,178.74,166.405,75.0403,178.62,284.246,1700.56,458.605,2526.85,180.256,129.069,131.396,211.436
VNG_0536G,180.167,239.562,628.396,1938.57,369.406,282.323,77.1856,508.284,232.393,1010.39,241.053,1292.48,491.312,184.765,199.154,90.2955,177.903,946.051,294.497,1489.89,290.453,391.478,267.767,320.653
VNG_0537C,97.2043,235.173,62.59,14.0237,42.9581,20.1008,19.7836,19.3007,114.933,151.741,118.187,19.5711,16.8871,26.9514,31.1945,20.2509,100.617,139.927,170.601,16.6506,10.2182,12.1942,23.5867,7.99044
VNG_0539C,653.399,1416.36,480.646,74.0138,0,34.7077,0,83.3152,732.52,876.87,712.465,97.4902,29.1586,23.2683,48.9664,19.426,665.87,709.735,1176.75,70.9866,0,21.0554,0,0
VNG_0540G,2827.28,4876.18,1767.15,290.457,10.2017,13.3659,29.2334,48.127,2857.91,3126.12,2944.8,301.171,44.9158,8.9606,18.8569,37.4047,2745.41,2632.1,4495.93,312.745,0,8.10844,24.7639,26.566
VNG_0541G,201.553,190.701,123.67,126.893,7.744,0,5.54768,12.1776,229.261,142.899,219.725,153.318,17.0476,13.6038,0,11.3574,235.104,157.402,198.63,151.445,12.8941,24.6201,18.798,0
VNG_0542C,43.1156,36.0865,82.6861,85.3417,77.6968,157.321,202.403,55.5361,42.6371,68.0651,46.4923,87.1606,15.5492,184.053,65.2799,170.926,44.972,51.6873,43.5438,91.137,246.976,106.667,145.739,91.9674
VNG_0543H,315.58,326.895,212.04,266.876,38.9048,50.9717,55.7416,0,420.297,330.409,365.093,309.018,85.6446,68.3436,107.868,85.5871,406.576,308.485,388.166,365.708,86.3708,0,94.4387,101.311
VNG_0544H,5.83918,4.77304,51.7876,27.9162,1414.44,1219.18,773.297,995.052,12.7542,18.5073,4.65555,44.1699,614.554,1024.41,860.024,1610.42,5.72469,8.58812,12.2019,25.7904,1280.85,1360.9,1234.84,2617.09
VNG_0546C,1505.32,1251.85,159.127,347.919,0,18.3035,10.0082,0,1320.6,384.568,1466.72,336.649,0,0,38.7345,0,1511.95,480.489,994.169,368.361,0,0,16.9561,0
VNG_0548C,18156.3,15674.8,3656.75,5827.91,0,0,241.794,0,18110.2,8736.92,18590,6901.05,743.012,197.639,311.938,0,17479.2,7797.56,14956.1,7252.25,0,1341.33,273.102,0
VNG_0549G,7140.57,7419.31,2294.37,3884.63,25.5785,16.756,9.16202,0,7803.24,4216.92,7860.49,3981.73,0,18.7223,23.6398,0,7590.84,3805.13,6575.07,3612.99,14.1964,10.1651,15.5225,33.3042
VNG_0550G,7170.7,7146.2,2409.99,3970.01,399.397,0,0,0,8398.78,4298.86,7931.85,4054.96,0,116.936,0,292.879,7565.85,3837.71,6745.57,3711.15,0,0,0,0
VNG_0551G,21967.9,21204.6,5116.55,11194.3,0,0,0,0,23273.7,11993.3,22533.8,9389.44,0,0,591.064,0,19893.4,10638.9,16239,10821.5,0,0,129.369,0
VNG_0553C,152.511,138.521,92.1849,123.756,73.0156,95.6625,97.1421,49.2078,140.808,140.603,157.511,126.537,51.6651,68.7138,91.582,53.5427,141.954,133.273,117.444,132.893,83.9441,62.1791,54.8602,54.3252
VNG_0555C,39.8757,40.8363,29.492,54.8846,26.5771,95.756,85.6774,26.1205,44.7353,39.9969,52.2345,54.8962,29.2533,73.9221,49.1254,60.9034,45.0352,31.3566,42.2668,58.8927,81.1286,36.9667,95.4271,43.2554
VNG_0556G,6.69872,6.47122,42.3396,14.3464,85.3261,171.413,44.8259,17.8902,11.7958,14.6613,10.997,24.4869,43.8284,91.6003,26.2863,75.0839,9.95336,6.82046,11.1059,14.8942,50.5143,58.7758,89.7535,59.2521
VNG_0557H,391.041,350.519,340.866,1455.05,0,0,46.0348,0,333.236,583.743,440.716,1427.16,0,4.70353,0,11.7805,418.325,519.823,380.151,1477.56,17.8326,25.5373,19.4983,0
VNG_0559G,1096.08,612.72,213.606,387.056,21.0658,193.198,60.3649,66.2527,503.126,224.534,928.433,388.488,69.5611,111.018,77.8766,46.343,1037.05,210.2,604.766,330.864,23.3837,50.2302,51.1359,109.714
VNG_0560C,231,299.91,96.4019,141.36,48.6973,38.2809,20.9316,7.65773,218.164,173.993,282.203,147.441,16.0803,38.4957,13.5019,49.9939,248.373,195.991,239.371,156.503,29.7305,46.4463,21.6717,12.6812
VNG_0562C,183.637,236.43,70.9619,120.433,12.1566,0,4.35442,0,174.943,134.454,215.523,102.979,6.69038,5.33886,16.8529,8.91452,209.448,163.053,198.703,127.333,10.1207,14.4934,31.9686,0
VNG_0563G,211.452,251.446,88.0143,144.137,131.005,107.274,70.3875,167.381,190.56,175.964,220.863,144.752,117.16,93.4924,105.941,90.0624,218.009,190.39,228.858,155.199,99.9759,104.125,102.69,277.182
VNG_0564H,355.111,469.702,180.61,302.539,28.8703,37.8249,0,90.7981,367.211,352.856,417.532,241.208,0,25.3581,0,42.3414,434.967,340.615,416.459,266.891,32.0469,22.9465,58.4007,0
VNG_0565C,652.029,823.587,391.603,526.305,98.3935,0,70.4876,0,695.257,628.681,796.868,484.306,0,14.4039,0,36.0762,778.591,541.68,815.965,471.357,27.3049,0,19.9036,128.112
VNG_0566C,230.825,279.381,89.3518,171.437,0,0,0,0,196.388,207.98,236.747,119.073,0,13.6801,21.5917,0,222.046,229.765,225.999,143.23,25.9329,18.5687,18.9035,0
VNG_0568C,1107.05,1367.37,505.998,850.471,337.52,0,0,530.755,1129.92,1108.51,1266.49,537.943,0,0,0,0,1032.4,928.166,1160.54,723.06,0,0,0,0
VNG_0570H,7965.16,10917,3306.93,6987.27,0,0,0,0,7867.25,8135.54,8200.66,5295.39,2161.42,0,0,0,8275.38,7128.49,8289.45,6414.4,0,0,0,0
VNG_0571C,497.072,511.877,175.331,275.316,845.478,655.587,673.673,854.696,434.678,373.382,492.281,249.052,1130.03,684.525,733.555,797.133,464.945,397.772,453.22,288.655,928.928,959.996,813.258,718.919
VNG_0572G,140.071,98.4267,58.7305,72.5282,7.8865,10.3326,5.64976,12.4016,101.117,90.7238,109.439,56.2729,26.0419,9.23608,0,5.7832,152.892,69.734,113.439,67.4074,8.75424,0,9.57197,20.537
VNG_0573C,707.75,626.768,231.123,367.571,0,61.6039,56.1407,24.6466,755.824,324.503,759.555,422.921,69.0062,45.8886,72.4269,68.9599,741.829,321.702,584.312,325.472,17.3978,12.4574,38.046,40.8145
VNG_0574C,796.376,956.055,374.493,290.437,0,0,81.5268,0,860.704,473.022,781.472,204.704,0,99.9583,0,0,714.542,607.728,828.698,279.888,0,0,92.0832,296.352
VNG_0575G,285.902,248.642,197.026,131.703,14.0112,9.17852,20.0749,44.0658,257.496,224.172,294.692,142.278,15.4221,34.869,19.4239,41.098,273.219,248.296,252.076,177.569,42.7704,33.409,14.1714,0
VNG_0576C,72.6189,58.6736,149.855,99.6036,42.7574,448.154,336.938,134.473,68.1435,133.241,58.1377,129.319,94.1257,350.52,39.5166,438.959,72.9361,113.888,67.1956,146.759,237.31,475.778,242.178,0
VNG_0578H,3213.56,2451.49,1064.98,1195.49,224.807,757.373,736.22,404.014,2548.51,1250.51,2850.22,942.602,353.491,865.053,237.449,612.306,3259.03,1057.9,2600.1,946.715,855.572,587.089,727.605,752.675
VNG_0579H,4864.26,4327.32,2825.79,5622.44,0,144.163,78.8267,0,6170.72,5348.3,5964.3,6398.79,0,257.727,0,80.6884,6369.31,2724.91,5091.54,4518.26,122.141,0,222.584,0
VNG_0581H,754.338,730.87,710.41,1512.02,0,218.772,0,131.289,856.929,1099.9,920.987,1558.03,0,219.999,77.162,122.447,920.193,743.076,774.326,1190.57,0,132.718,236.444,217.414
VNG_0582C,2502.31,3102.53,1196.27,5064.77,0,89.5711,29.3859,0,2815.87,2762.49,3084.18,4482.56,15.0501,28.0229,12.6369,60.1599,2974.66,2640.56,2805.68,4281.22,22.7666,10.8677,22.1273,35.6062
VNG_0583G,1724.89,2084,955.96,2900.77,37.8037,148.587,45.1367,99.0782,1680.19,1638.32,1920.93,2443.88,55.4805,47.9623,46.5845,18.4811,1922.72,1589.02,1728.18,2428.63,41.9632,10.0156,50.9811,0
VNG_0584H,2767.49,2999.25,1818.12,4929.77,440.688,288.687,122.773,230.996,2760.91,2594.05,2960.31,4219.47,161.688,164.865,373.346,260.322,3146.14,2466.3,2806.95,4062.5,135.882,233.51,138.67,223.141
