,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.2.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_1974H,50.6347417,41.70848006,43.06870092,30.07630433,27.06952505,27.63636638,26.52254708,33.92588255,28.84623118,26.45927167,24.97661874,25.44726014,27.95987593,0,70.44394734,36.26473824,33.11095795,39.70069666,0,0,109.7058958,26.04365614,108.6047319,75.88034212
VNG_1976H,3.762544304,16.23516592,15.88371985,5.15210562,13.50446456,14.80727859,73.28287999,4.482514525,20.10490434,8.685781876,6.81326769,29.08360931,355.4549685,89.27937995,255.873298,576.2934701,631.4107915,252.3584855,252.2727778,398.4963937,278.9388347,993.2807767,517.7625653,964.6698881
VNG_1977H,25.94008941,45.17610115,41.2475521,44.9772438,66.80887141,52.31188371,376.2274642,125.4246513,193.7447139,114.2805516,107.0975348,112.4770253,0,41.23293277,31.81578435,65.51529513,37.38609602,53.79196053,35.84920099,28.31416294,89.18688755,47.0500222,49.0510985,102.813241
VNG_1978H,30.37457311,49.20004333,47.4896297,57.14908947,81.28181721,60.76397662,384.5732053,122.2919544,182.4042033,111.674202,97.00339874,117.2903233,122.8996943,51.44786127,73.72440345,239.1066934,121.2847993,135.7283259,58.14956517,61.23634056,128.5919304,76.31798642,238.6919217,0
VNG_1980C,55.90559784,48.49574374,43.33471941,35.3566807,34.88534786,34.21659696,27.89292141,26.20581538,22.40928762,20.31997646,21.64993124,21.88583011,69.0477303,57.80895904,107.6914271,134.3355474,109.0249979,54.46774791,98.00878387,68.80756492,72.24589267,107.1924659,89.40116479,124.9255749
VNG_1982C,27.74009946,24.2224693,22.06271576,22.37700168,19.85831803,17.10864581,24.61771804,16.65839196,12.66556142,5.779811882,7.855933406,8.21965571,41.68719386,27.22349704,12.00337885,37.84860944,34.55709186,31.56930761,0,24.92532431,32.71360962,15.53206913,16.19267477,0
VNG_1983H,16.48625304,13.15762783,13.17568482,12.12112323,9.832561176,15.06443968,11.91004533,6.398613418,5.140183296,1.760914365,2.812449968,3.248370662,83.92263451,87.82845083,88.10014221,63.49585671,45.55096205,82.75223445,129.0498517,73.17701649,54.88110855,130.2855125,74.7044357,113.8789928
VNG_1984G,40.01149463,33.9633787,35.45341837,30.49359539,27.8841453,28.70405036,27.06492934,23.68236796,19.61077729,6.916348406,11.40851177,9.467767495,245.9388938,175.0213212,236.051157,212.6596592,109.217703,135.8047702,203.6387031,199.1305158,289.4962097,152.7225067,179.1201089,222.4846282
VNG_1985C,47.16828595,43.17680696,40.70224974,49.40273879,46.2141546,35.73024912,54.82988273,61.53054879,55.80211866,53.08606028,47.38964069,39.19646137,133.7428964,105.574868,142.1189202,70.21316102,56.56504277,120.5734936,99.43961199,47.59917411,59.97313106,53.38998306,30.92257862,51.85201198
VNG_1986C,26.78390633,25.24605624,21.22983865,16.79581088,15.49074688,17.88712195,20.7934049,8.933496896,8.469282852,5.930710834,5.306295334,8.799016692,1040.886979,1078.439421,907.3349692,843.7905463,837.8204622,931.4349541,461.7121354,352.5103919,382.8873117,409.029733,157.935505,176.5550732
VNG_1987G,224.1538673,245.3249277,215.0765386,246.6028267,229.1725392,171.666263,106.287286,131.3020035,89.44170291,40.30702018,36.54822824,30.84677477,27.02714552,44.12460414,43.77473194,17.52744393,16.0031675,31.98031977,0,0,21.20923181,18.88118984,26.24555298,55.01185278
VNG_1988G,310.7402709,276.380907,214.2341862,232.2227302,221.1282961,163.6867667,91.58314474,94.28204717,60.3433397,26.4225975,24.51674009,20.92029689,27.45641299,51.72160829,39.5288022,17.80587814,8.128684481,58.47869045,0,10.26037835,21.54612529,12.7873842,13.33122289,37.25697863
VNG_1989H,167.8446859,146.928254,150.8632765,114.5998413,127.3529127,124.6147663,121.7009062,78.58174992,71.25018326,55.68706158,59.14828015,69.50361309,131.4877094,8.256423869,70.98830793,21.31792204,0,31.11689641,0,0,25.79585663,30.61899854,31.92131365,0
