,trna.rep.1.tp.1_0,trna.rep.2.tp.1_0,trna.rep.3.tp.1_0,trna.rep.1.tp.2_0,trna.rep.2.tp.2_0,trna.rep.3.tp.2_0,trna.rep.1.tp.3_0,trna.rep.2.tp.3_0,trna.rep.3.tp.3_0,trna.rep.1.tp.4_0,rbf.rep.2.tp.3_0,trna.rep.2.tp.4_0,trna.rep.3.tp.4_0,rbf.rep.1.tp.1_0,rbf.rep.2.tp.1_0,rbf.rep.3.tp.1_0,rbf.rep.1.tp.2_0,rbf.rep.2.tp.2_0,rbf.rep.3.tp.2_0,rbf.rep.1.tp.3_0,rbf.rep.3.tp.3_0,rbf.rep.1.tp.4_0,rbf.rep.2.tp.4_0,rbf.rep.3.tp.4_0
VNG_2356G,227.168,244.853,203.598,203.346,217.947,221.263,189.983,183.439,190.468,188.926,6.61956,177.857,169.724,18.7679,11.5336,10.142,12.8276,18.3828,15.901,0,14.232,25.0685,7.88365,18.6515
VNG_2358G,49.8628,59.7549,78.598,200.971,209.763,193.622,487.438,531.123,578.25,788.183,222.658,830.551,710.684,166.43,206.479,233.925,269.868,260.181,228.528,254.861,268.079,481.836,298.927,365.015
VNG_2359G,76.7723,96.2395,116.562,241.965,224.956,257.91,492.663,462.293,501.518,658.039,36.5538,622.446,657.112,25.9095,14.4749,32.0029,14.1671,21.7525,38.4154,31.0977,15.718,19.7758,10.8835,25.7488
VNG_2361G,30.9813,40.404,42.0598,112.49,107.563,94.8137,165.945,217.03,219.24,310.584,51.9776,296.421,293.707,63.1578,39.9892,65.0094,28.7784,41.2413,40.1325,63.1706,38.3148,48.206,97.2768,41.844
VNG_2363G,27.304,43.7777,50.6674,105.683,117.728,116.659,163.511,189.324,232.53,343.134,23.6398,329.55,326.209,67.0241,26.2112,36.2192,18.324,46.892,21.2946,60.3339,81.3205,63.9462,98.5394,33.3042
VNG_2365G,20.8132,36.1771,38.1737,63.2383,85.9763,87.8194,183.636,123.674,157.373,243.424,76.2417,282.27,283.787,72.0541,24.1528,44.4999,34.4736,80.6579,53.4164,54.0515,142.063,123.741,30.267,107.411
VNG_2366C,298.052,405.086,425.619,345.368,525.005,564.407,1225.05,458.424,768.365,746.418,2866.58,769.105,812.586,3773.43,1913.52,1971.9,1777.59,2810.59,2164.13,3518.71,2130.68,4253.71,3438.37,2365.4
VNG_2367G,1050.51,975.227,1143.17,1341.26,1190.91,1317.53,759.35,1525.27,1159.22,504.747,149.744,521.958,459.976,84.9114,164.451,135.471,170.238,142.576,155.871,135.886,128.779,86.4129,35.6678,196.897
VNG_2368G,112.853,120.051,114.242,75.994,89.1736,92.4197,63.1555,48.9659,49.2069,94.3223,0,98.5242,103.788,23.4926,23.0995,30.4685,35.9675,18.4085,7.96159,16.9181,25.6533,25.1035,27.6313,37.3551
VNG_2369C,232.859,349.988,320.13,199.247,245.582,270.189,95.6014,113.101,163.691,257.223,0,261.685,356.595,0,0,0,97.444,199.491,0,0,0,0,0,0
VNG_2370C,376.4,377.974,338.37,376.851,376.236,353.137,337.72,358.43,308.407,260.277,1401.82,306.93,205.682,2152.83,1332.25,1073.88,1720.45,1390.33,1823.97,596.29,602.778,1011.19,556.504,0
